date	+BTC	BTC	BTC quote	average BTC quote quote	BTC $	BTC %	TOTAL	gains	$ gains	deposits/withdrawals	invested	yields	gains, total	$ gains, total	ROI	APR
2025-08-06	0.00000	0.00099	$113,883.00	$83,656.00	$113.11	100.00%	$113.11	0.00000	$0.77	$0.00	$100.00	$0.00	0.00000	$13.11	13.11%	29.35%
2025-08-05	0.00000	0.00099	$113,107.00	$83,656.00	$112.34	100.00%	$112.34	0.00000	-$1.38	$0.00	$100.00	$0.00	0.00000	$12.34	12.34%	27.80%
2025-08-04	0.00000	0.00099	$114,501.00	$83,656.00	$113.72	100.00%	$113.72	0.00000	$0.67	$0.00	$100.00	$0.00	0.00000	$13.72	13.72%	31.11%
2025-08-03	0.00000	0.00099	$113,828.00	$83,656.00	$113.05	100.00%	$113.05	0.00000	$0.08	$0.00	$100.00	$0.00	0.00000	$13.05	13.05%	29.78%
2025-08-02	0.00000	0.00099	$113,750.00	$83,656.00	$112.98	100.00%	$112.98	0.00000	-$2.02	$0.00	$100.00	$0.00	0.00000	$12.98	12.98%	29.79%
2025-08-01	0.00000	0.00099	$115,780.00	$83,656.00	$114.99	100.00%	$114.99	0.00000	-$2.20	$0.00	$100.00	$0.00	0.00000	$14.99	14.99%	34.64%
2025-07-31	0.00000	0.00099	$117,991.00	$83,656.00	$117.19	100.00%	$117.19	0.00000	$0.36	$0.00	$100.00	$0.00	0.00000	$17.19	17.19%	39.96%
2025-07-30	0.00000	0.00099	$117,633.00	$83,656.00	$116.83	100.00%	$116.83	0.00000	-$0.95	$0.00	$100.00	$0.00	0.00000	$16.83	16.83%	39.39%
2025-07-29	0.00000	0.00099	$118,590.00	$83,656.00	$117.78	100.00%	$117.78	0.00000	$0.88	$0.00	$100.00	$0.00	0.00000	$17.78	17.78%	41.88%
2025-07-28	0.00000	0.00099	$117,702.00	$83,656.00	$116.90	100.00%	$116.90	0.00000	-$0.38	$0.00	$100.00	$0.00	0.00000	$16.90	16.90%	40.06%
2025-07-27	0.00000	0.00099	$118,085.00	$83,656.00	$117.28	100.00%	$117.28	0.00000	$0.12	$0.00	$100.00	$0.00	0.00000	$17.28	17.28%	41.23%
2025-07-26	0.00000	0.00099	$117,964.00	$83,656.00	$117.16	100.00%	$117.16	0.00000	$1.82	$0.00	$100.00	$0.00	0.00000	$17.16	17.16%	41.21%
2025-07-25	0.00000	0.00099	$116,127.00	$83,656.00	$115.34	100.00%	$115.34	0.00000	-$2.43	$0.00	$100.00	$0.00	0.00000	$15.34	15.34%	37.07%
2025-07-24	0.00000	0.00099	$118,576.00	$83,656.00	$117.77	100.00%	$117.77	0.00000	$0.56	$0.00	$100.00	$0.00	0.00000	$17.77	17.77%	43.24%
2025-07-23	0.00000	0.00099	$118,015.00	$83,656.00	$117.21	100.00%	$117.21	0.00000	-$1.15	$0.00	$100.00	$0.00	0.00000	$17.21	17.21%	42.16%
2025-07-22	0.00000	0.00099	$119,171.00	$83,656.00	$118.36	100.00%	$118.36	0.00000	$0.93	$0.00	$100.00	$0.00	0.00000	$18.36	18.36%	45.28%
2025-07-21	0.00000	0.00099	$118,234.00	$83,656.00	$117.43	100.00%	$117.43	0.00000	$0.25	$0.00	$100.00	$0.00	0.00000	$17.43	17.43%	43.28%
2025-07-20	0.00000	0.00099	$117,982.00	$83,656.00	$117.18	100.00%	$117.18	0.00000	-$0.28	$0.00	$100.00	$0.00	0.00000	$17.18	17.18%	42.95%
2025-07-19	0.00000	0.00099	$118,265.00	$83,656.00	$117.46	100.00%	$117.46	0.00000	$0.33	$0.00	$100.00	$0.00	0.00000	$17.46	17.46%	43.95%
